blue,green,red,ndwi,brightness,label,source_file
0.62510395,0.57279146,0.47971734,0.088430636,0.5592043,0,GSL_1995_01.tif
0.66462696,0.6088085,0.51540995,0.08307859,0.5962818,0,GSL_1995_01.tif
0.4977876,0.43086815,0.35883316,0.09121789,0.42916298,0,GSL_1995_01.tif
0.54360425,0.48734206,0.40912896,0.087245435,0.48002508,0,GSL_1995_01.tif
0.5711017,0.5156903,0.4312006,0.08922848,0.5059976,0,GSL_1995_01.tif
0.5772643,0.5195348,0.4373532,0.08588418,0.51138407,0,GSL_1995_01.tif
0.6429736,0.5857414,0.49443173,0.084532365,0.57438225,0,GSL_1995_01.tif
0.4806485,0.41229308,0.3417652,0.09353095,0.4115689,0,GSL_1995_01.tif
0.5443535,0.47621322,0.39788005,0.08961638,0.4728156,0,GSL_1995_01.tif
0.59412247,0.5401131,0.45191935,0.08890199,0.5287183,0,GSL_1995_01.tif
0.57366794,0.5108341,0.42949563,0.08649985,0.5046659,0,GSL_1995_01.tif
0.57366794,0.5108341,0.42949563,0.08649985,0.5046659,0,GSL_1995_01.tif
0.5018992,0.46145406,0.40652952,0.06327825,0.4566276,0,GSL_2001_02.tif
0.4719205,0.43331692,0.35886684,0.09398069,0.4213681,0,GSL_2001_02.tif
0.4719205,0.43331692,0.35886684,0.09398069,0.4213681,0,GSL_2001_02.tif
0.46817082,0.42917597,0.35538572,0.09405272,0.4175775,0,GSL_2001_02.tif
0.48016977,0.44006982,0.369978,0.086527884,0.43007255,0,GSL_2001_02.tif
0.5517512,0.5159021,0.45842212,0.05899465,0.5086918,0,GSL_2001_02.tif
0.5245848,0.48965493,0.43223295,0.062287312,0.48215756,0,GSL_2001_02.tif
0.5228224,0.4899522,0.42988524,0.06530165,0.4808866,0,GSL_2001_02.tif
0.5117983,0.47831511,0.4206158,0.064186536,0.47024307,0,GSL_2001_02.tif
0.5204976,0.48640588,0.43031025,0.061191864,0.47907123,0,GSL_2001_02.tif
0.48954397,0.4568884,0.40794623,0.056591302,0.45145956,0,GSL_2001_02.tif
0.50191796,0.46861047,0.41618347,0.059253268,0.46223727,0,GSL_2001_02.tif
0.4999681,0.46797338,0.41602156,0.058769304,0.46132103,0,GSL_2001_02.tif
0.49886194,0.46771857,0.41654778,0.05786801,0.46104276,0,GSL_2001_02.tif
0.5224099,0.49211824,0.4418262,0.053849015,0.48545146,0,GSL_2001_02.tif
0.36027375,0.3229768,0.265788,0.097133376,0.31634617,0,GSL_2001_02.tif
0.377766,0.33809653,0.28078505,0.092604764,0.33221588,0,GSL_2001_02.tif
0.39709562,0.35691127,0.30310857,0.08151666,0.35237184,0,GSL_2001_02.tif
0.4109132,0.37116033,0.31972474,0.07444873,0.3672661,0,GSL_2001_02.tif
0.4337675,0.39468938,0.34524602,0.0668211,0.3912343,0,GSL_2001_02.tif
0.35879263,0.3385637,0.2679333,0.11645611,0.32176325,0,GSL_2001_02.tif
0.34947467,0.32380497,0.25817814,0.112763956,0.31048593,0,GSL_2001_02.tif
0.34938094,0.32246715,0.25336128,0.120010994,0.30840313,0,GSL_2001_02.tif
0.35082456,0.32163894,0.2554459,0.11470225,0.30930313,0,GSL_2001_02.tif
0.3454438,0.31333584,0.24994092,0.11254646,0.30290684,0,GSL_2001_02.tif
0.23779286,0.16946323,0.17568856,-0.018036455,0.19431488,0,GSL_2004_06.tif
0.3167953,0.2574185,0.24907818,0.016466668,0.27443066,0,GSL_2004_06.tif
